Player_id,Season,Competition,Games,PPG,Goals,Assists,Yellow_cards,Yellow_red_cards,Red_cards,Penalty_goals,Minutes_per_goal,Minutes_played,Club_id,League_type
60790,2013,Premier Liga,25,1.56,0,1,5,1,1,0,0,2113,10690,wettbewerb
60790,2013,Ukrainian Cup,1,0.0,0,0,1,0,0,0,0,120,10690,pokalwettbewerb
60790,2012,Premier Liga,28,1.21,0,0,8,0,0,0,0,2432,10690,wettbewerb
60790,2012,Ukrainian Cup,1,0.0,0,0,0,0,0,0,0,120,10690,pokalwettbewerb
60790,2011,Premier Liga,10,1.4,0,2,1,0,0,0,0,870,10690,wettbewerb
60790,2011,Ukrainian Cup,1,0.0,0,0,0,0,0,0,0,120,10690,pokalwettbewerb
60790,2011,Premijer Liga,12,1.67,0,0,2,1,0,0,0,1055,6808,wettbewerb
60790,2010,JPL Playoff II,2,1.0,0,0,0,0,0,0,0,51,601,wettbewerb
60790,2010,Jupiler Pro League,13,1.15,0,0,1,0,0,0,0,976,601,wettbewerb
60790,2010,Beker van Belgie,1,3.0,0,0,0,0,1,0,0,102,601,pokalwettbewerb
60790,2010,Premijer Liga,5,1.8,0,0,1,0,0,0,0,405,6808,wettbewerb
60790,2010,Europa League Qualifying,6,2.17,1,0,0,0,0,0,540,540,6808,pokalwettbewerb
60790,2009,Premijer Liga,28,1.61,0,0,5,0,0,0,0,2520,6808,wettbewerb
60790,2009,Champions League Qu.,2,1.5,0,0,1,0,0,0,0,180,6808,pokalwettbewerb
60790,2008,Premijer Liga,16,1.81,1,0,1,0,0,0,1433,1433,6808,wettbewerb
60790,2008,UEFA-Cup Qualifikation,4,1.5,1,0,0,0,0,0,360,360,6808,pokalwettbewerb
60790,2007,UEFA-Cup Qualifikation,1,0.0,0,0,1,0,0,0,0,90,6808,pokalwettbewerb
412638,2022,Fortuna Liga,9,1.22,5,0,3,0,0,0,127,633,377,wettbewerb
412638,2022,MOL Cup,2,1.5,0,0,1,0,0,0,0,143,377,pokalwettbewerb
412638,2021,Fortuna Liga Champ. Gr.,5,0.8,3,0,1,0,0,0,111,332,377,wettbewerb
412638,2021,Fortuna Liga,27,1.78,13,3,2,1,0,1,141,1831,377,wettbewerb
412638,2021,MOL Cup,2,1.5,0,0,0,0,0,0,0,147,377,pokalwettbewerb
412638,2020,Premier Liga,8,1.63,0,2,1,0,0,0,0,271,3725,wettbewerb
412638,2020,Russian Cup,3,2.0,0,0,0,0,0,0,0,94,3725,pokalwettbewerb
412638,2020,Fortuna Liga,14,1.36,6,3,2,0,0,0,125,750,7087,wettbewerb
412638,2020,Slovnaft Cup,2,3.0,2,0,1,0,0,0,15,29,7087,pokalwettbewerb
412638,2020,Europa League Qualifying,1,0.0,0,0,0,0,0,0,0,70,7087,pokalwettbewerb
412638,2019,Fort. Liga - Champ. G.,4,1.75,2,0,3,0,0,0,100,200,7087,wettbewerb
412638,2019,Slovnaft Cup,3,2.33,0,0,1,0,0,0,0,138,7087,pokalwettbewerb
412638,2019,II. Liga,1,0.0,0,0,0,0,0,0,0,90,20633,wettbewerb
412638,2019,Fortuna Liga,3,1.0,0,0,1,0,0,0,0,174,7087,wettbewerb
412638,2019,II. Liga,13,1.31,11,2,7,0,0,1,106,1167,2781,wettbewerb
412638,2019,Slovnaft Cup,2,3.0,3,0,0,0,0,0,60,180,2781,pokalwettbewerb
412638,2018,II. Liga,13,1.15,4,4,2,0,0,1,240,960,34775,wettbewerb
412638,2018,Fortuna Liga,1,3.0,0,0,0,0,0,0,0,15,4529,wettbewerb
412638,2018,Slovnaft Cup,1,3.0,1,0,0,0,0,0,90,90,4529,pokalwettbewerb
412638,2018,Europa League Qualifying,0,0.0,0,0,0,0,0,0,0,0,4529,pokalwettbewerb
412638,2017,Fort. Liga - Champ. G.,1,0.0,0,0,0,0,0,0,0,9,4529,wettbewerb
412638,2016,Fortuna Liga,0,0.0,0,0,0,0,0,0,0,0,4529,wettbewerb
412638,2016,Slovnaft Cup,1,3.0,1,0,0,0,0,0,29,29,4529,pokalwettbewerb
412638,2016,Fortuna Liga,1,0.0,0,0,0,0,0,0,0,4,6163,wettbewerb
412638,2015,Fortuna Liga,6,0.33,1,0,0,0,0,0,285,285,6163,wettbewerb
402604,2022,1.Division,18,1.33,0,0,4,0,0,0,0,1276,3733,wettbewerb
402604,2022,Russian Cup,1,0.0,0,0,0,0,0,0,0,44,3733,pokalwettbewerb
402604,2021,FNL,35,1.54,2,2,12,0,0,0,1250,2500,3733,wettbewerb
402604,2021,Russian Cup,0,0.0,0,0,0,0,0,0,0,0,3733,pokalwettbewerb
402604,2020,PFL Group 2,16,2.06,1,1,3,1,0,0,1340,1340,54443,wettbewerb
402604,2020,Premier Liga,2,3.0,0,0,0,0,0,0,0,7,121,wettbewerb
402604,2020,U19 M-Liga,1,3.0,0,0,0,0,0,0,0,90,11741,wettbewerb
402604,2019,U19 M-Liga,5,1.4,1,1,0,0,0,0,315,315,11741,wettbewerb
402604,2019,U19 M-Liga,9,0.78,1,0,2,0,0,0,645,645,30990,wettbewerb
402604,2019,Russian Cup,0,0.0,0,0,0,0,0,0,0,0,14589,pokalwettbewerb
402604,2019,Premier Liga,0,0.0,0,0,0,0,0,0,0,0,14589,wettbewerb
402604,2019,Premier Liga,0,0.0,0,0,0,0,0,0,0,0,121,wettbewerb
402604,2018,Premier Liga,5,1.2,0,0,0,0,0,0,0,294,121,wettbewerb
402604,2018,U19 M-Liga,9,1.67,0,0,2,0,0,0,0,498,11741,wettbewerb
402604,2018,Russian Cup,2,1.5,0,0,1,0,0,0,0,90,121,pokalwettbewerb
402604,2017,U19 M-Liga,27,2.04,0,0,1,0,0,0,0,2048,11741,wettbewerb
402604,2017,Premier Liga,0,0.0,0,0,0,0,0,0,0,0,121,wettbewerb
402604,2016,UEFA Youth League,1,1.0,0,0,1,0,0,0,0,80,55965,pokalwettbewerb
99003,2022,1.Lig,17,1.65,0,4,6,0,0,0,0,1072,2463,wettbewerb
99003,2021,1.Lig,28,1.54,1,2,8,1,0,0,2450,2450,3207,wettbewerb
99003,2020,NB I.,11,1.45,0,0,1,0,0,0,0,461,9241,wettbewerb
99003,2020,Magyar Kupa,1,0.0,0,0,0,0,0,0,0,61,9241,pokalwettbewerb
99003,2020,Premier Liga,6,1.5,2,0,2,0,0,0,125,250,3725,wettbewerb
99003,2019,Premier Liga,26,1.0,7,2,5,1,0,3,250,1751,3725,wettbewerb
99003,2019,Russian Cup,2,1.5,1,0,0,0,0,1,232,232,3725,pokalwettbewerb
99003,2018,Premier Liga,13,1.46,0,0,1,0,0,0,0,594,3725,wettbewerb
99003,2017,Premier Liga,20,1.25,1,3,4,0,0,0,1255,1255,3725,wettbewerb
99003,2017,Russian Cup,1,0.0,0,0,0,0,0,0,0,10,3725,pokalwettbewerb
99003,2016,Premier Liga,19,1.26,1,5,6,0,0,0,1013,1013,3725,wettbewerb
99003,2016,Russian Cup,1,0.0,0,1,0,0,0,0,0,103,3725,pokalwettbewerb
99003,2016,1.HNL,1,3.0,0,1,0,0,0,0,0,21,144,wettbewerb
99003,2015,SuperSport HNL,20,2.4,1,1,1,0,0,0,367,367,144,wettbewerb
99003,2015,Hrvatski nogometni kup,4,2.25,1,0,0,0,0,0,217,217,144,pokalwettbewerb
99003,2015,Europa League Qualifying,1,1.0,0,0,0,0,0,0,0,52,144,pokalwettbewerb
99003,2014,2. Bundesliga,21,1.05,3,1,5,0,0,0,452,1356,293,wettbewerb
99003,2014,DFB-Pokal,1,3.0,0,1,0,0,0,0,0,66,293,pokalwettbewerb
99003,2013,2. Bundesliga,23,1.04,1,3,4,0,1,0,820,820,293,wettbewerb
99003,2013,DFB-Pokal,2,1.5,0,0,0,0,0,0,0,54,293,pokalwettbewerb
99003,2012,2. Bundesliga,30,1.53,2,1,0,0,0,0,402,803,293,wettbewerb
99003,2012,DFB-Pokal,2,1.5,0,0,0,0,0,0,0,88,293,pokalwettbewerb
99003,2011,Bundesliga,20,0.75,1,1,2,0,0,0,555,555,3,wettbewerb
99003,2011,DFB-Pokal,0,0.0,0,0,0,0,0,0,0,0,3,pokalwettbewerb
99003,2010,Abissnet Superiore,22,2.27,5,0,4,0,0,0,297,1486,12460,wettbewerb
99003,2009,Abissnet Superiore,29,1.38,3,0,0,0,0,0,689,2066,12460,wettbewerb
99003,2009,Europa League Qualifying,2,1.5,1,0,0,0,0,0,105,105,12460,pokalwettbewerb
747454,2022,U19 M-Liga,8,0.75,0,0,1,0,0,0,0,720,16202,wettbewerb
747454,2022,Russian Cup,0,0.0,0,0,0,0,0,0,0,0,3725,pokalwettbewerb
747454,2021,U19 M-Liga,21,0.95,3,1,5,0,0,0,597,1791,16202,wettbewerb
747454,2020,U19 M-Liga,24,1.5,2,0,4,0,0,0,954,1907,16202,wettbewerb
747454,2020,Premier Liga,1,1.0,0,0,0,0,0,0,0,6,3725,wettbewerb
747454,2019,U19 M-Liga,3,1.67,0,0,0,0,0,0,0,99,16202,wettbewerb
253734,2021,Saudi Pro League,27,1.15,1,3,10,0,0,0,2381,2381,28848,wettbewerb
253734,2022,AFC Champions League,6,1.5,0,0,0,0,0,0,0,540,28848,pokalwettbewerb
253734,2021,Saudi Super Cup,1,0.0,0,0,0,0,0,0,0,90,28848,pokalwettbewerb
253734,2021,King's Cup,1,0.0,0,0,0,0,0,0,0,90,28848,pokalwettbewerb
253734,2020,Premier Liga,26,1.35,1,4,7,0,0,0,1732,1732,3725,wettbewerb
253734,2020,Russian Cup,2,3.0,0,0,0,0,0,0,0,115,3725,pokalwettbewerb
253734,2019,Premier Liga,29,1.07,1,1,6,0,0,1,2508,2508,3725,wettbewerb
253734,2019,Russian Cup,2,1.5,0,1,1,0,0,0,0,210,3725,pokalwettbewerb
253734,2018,Premier Liga,29,1.41,2,5,6,0,0,0,1153,2306,3725,wettbewerb
253734,2018,Russian Cup,1,0.0,0,0,1,0,0,0,0,90,3725,pokalwettbewerb
253734,2017,Premier Liga,24,1.13,3,6,3,0,0,0,664,1991,3725,wettbewerb
253734,2017,Russian Cup,1,0.0,0,0,0,0,0,0,0,90,3725,pokalwettbewerb
253734,2017,Allsvenskan,7,1.71,0,1,0,0,0,0,0,447,3654,wettbewerb
253734,2016,Svenska Cupen,1,1.0,0,0,0,0,0,0,0,90,3654,pokalwettbewerb
253734,2016,Allsvenskan,29,1.52,2,6,3,0,0,0,1269,2538,3654,wettbewerb
253734,2015,Svenska Cupen,6,2.5,0,1,1,0,1,0,0,548,3654,pokalwettbewerb
253734,2015,Allsvenskan,27,1.04,1,4,2,0,0,0,2163,2163,3654,wettbewerb
253734,2015,U21 Allsvenskan Södra,1,1.0,0,1,0,0,0,0,0,63,9337,wettbewerb
253734,2014,Allsvenskan,19,1.68,0,1,3,0,0,0,0,1476,3654,wettbewerb
253734,2013,Allsvenskan,24,1.67,3,1,1,0,0,0,489,1466,3654,wettbewerb
253734,2012,Svenska Cupen,1,0.0,0,0,0,0,0,0,0,47,3654,pokalwettbewerb
253734,2013,U21 Allsvenskan Södra,8,1.25,1,0,0,0,0,0,703,703,9337,wettbewerb
253734,2011,Svenska Cupen,1,3.0,0,0,0,0,0,0,0,90,3654,pokalwettbewerb
583790,2022,2 League Group 1,15,2.0,2,2,4,1,0,0,625,1249,3609,wettbewerb
