club_id,Season,W,D,L,Points,Goales_scored,Goales_conceded
1387,2000,10,17,11,47,38,43
1071,2022,7,10,16,31,30,52
1071,2021,27,11,8,92,82,44
1071,2020,13,9,24,48,54,77
1071,2019,15,14,17,47,57,56
1071,2018,13,13,20,52,51,64
1071,2017,29,11,6,98,89,29
1071,2016,10,12,24,42,40,57
1071,2015,24,15,7,87,82,45
1071,2014,9,12,25,39,39,64
1071,2013,21,10,15,73,61,48
1071,2012,9,9,20,36,47,73
1071,2011,11,10,17,43,42,62
1071,2010,9,15,14,42,40,61
1071,2009,9,9,20,36,37,79
1071,2008,12,9,17,45,34,45
1071,2007,10,10,18,40,34,51
1071,2006,9,8,20,35,35,59
1071,2005,15,6,17,51,45,52
1071,2004,25,12,9,87,79,35
1071,2003,18,17,11,71,60,45
1071,2002,29,13,4,100,68,25
2703,2019,1,5,13,8,14,40
2703,2018,8,6,14,30,34,41
2703,2017,8,8,16,32,26,41
2703,2016,10,7,13,37,26,36
2703,2015,6,8,12,26,21,36
2703,2013,14,4,17,46,29,52
2703,2012,4,7,19,19,26,53
2703,2009,7,9,14,30,25,41
2703,2008,21,7,10,70,57,30
2703,2007,20,9,24,69,61,63
2703,2006,15,11,16,56,56,56
2703,2004,5,8,17,23,27,53
2703,2003,7,7,16,28,28,52
2703,2002,9,4,17,31,23,43
2703,2001,8,6,16,30,31,42
2703,2000,8,8,14,32,31,47
142,2022,8,9,11,33,23,29
142,2021,12,20,10,56,39,46
142,2020,13,11,18,50,37,43
142,2019,18,11,13,65,59,53
142,2018,13,12,17,51,49,51
142,2017,20,11,11,71,57,44
142,2016,12,14,16,50,50,52
142,2015,17,13,12,64,50,44
142,2014,15,16,11,61,61,58
142,2013,13,14,15,53,49,53
142,2012,9,7,22,34,37,62
142,2011,12,7,19,43,36,61
142,2010,12,9,17,45,40,53
142,2009,10,11,17,41,46,64
142,2008,23,12,7,81,79,42
142,2007,10,12,16,42,50,61
142,2006,16,12,10,60,55,43
142,2005,10,16,12,46,46,51
142,2004,14,8,16,50,52,57
142,2003,13,9,16,48,46,55
142,2002,20,12,10,72,54,40
142,2001,9,10,19,37,35,54
142,2000,9,15,14,42,54,57
566,2012,6,5,19,23,31,61
566,2011,9,9,12,36,45,51
566,2010,5,11,14,26,24,40
566,2009,9,8,11,35,30,43
566,2008,11,9,14,42,44,42
566,2007,16,7,11,55,46,34
566,2006,14,9,11,51,52,46
566,2005,13,8,13,47,45,45
566,2004,12,6,16,42,36,45
566,2003,11,11,12,44,34,40
566,2002,8,7,17,31,49,57
566,2001,11,16,7,49,68,51
566,2000,17,3,14,54,62,53
1436,2014,16,15,15,63,52,48
1436,2012,5,8,17,23,35,55
1436,2011,8,5,17,29,26,38
1436,2010,7,12,11,33,32,36
1436,2006,4,11,15,23,28,55
1436,2004,6,12,16,30,30,56
1436,2003,11,8,15,41,36,45
1436,2002,10,9,15,39,43,50
1436,2001,10,9,15,39,48,56
1436,2000,14,7,13,49,45,49
4750,2016,7,7,28,28,45,83
4750,2015,19,12,15,69,42,39
4750,2014,13,16,17,55,51,56
4750,2013,6,6,18,24,21,49
4750,2012,5,10,15,25,26,42
4750,2011,9,12,9,39,36,38
4750,2010,7,13,10,34,24,34
4750,2009,5,14,11,29,31,46
23,2022,5,6,11,21,26,38
23,2021,18,10,8,64,61,36
23,2020,7,10,17,31,30,59
23,2019,18,10,10,64,64,53
23,2018,10,15,13,45,48,54
23,2017,8,15,11,39,37,43
23,2016,19,9,6,66,50,36
23,2015,12,10,12,46,44,38
23,2014,15,5,14,50,44,41
